,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15
1376,B,False,1554.1,1545.5,1551.8,1548.3,1554.2,1549.0,1545.3,1542.1,1535.7,1545.3,1537.9,1535.9,1532.6,1539.3,1533.8
1377,B,False,10.137,11.604,12.194,13.223,15.284,15.155,15.687,16.034,17.882,17.311,17.887,17.473,17.5,18.566,18.427
1378,B,False,655.47,645.41,644.73,642.78,646.48,640.93,644.35,642.96,641.4,637.88,643.47,638.3,626.55,634.06,635.81
1379,B,False,620.21,617.92,614.61,608.28,601.4,604.37,605.73,613.76,623.94,631.86,635.95,633.55,636.16,639.08,649.53
1380,B,False,294.27,292.83,293.64,292.14,295.24,292.72,296.39,296.8,297.86,296.2,298.73,298.08,300.57,301.65,297.54
1381,B,False,199.98,195.08,193.47,188.98,194.0,193.64,194.8,196.4,192.26,192.51,192.74,190.51,202.5,210.45,203.42
1382,B,False,235.11,237.47,240.06,240.1,244.41,242.48,241.79,241.85,243.35,240.49,239.15,238.69,240.43,238.31,238.25
1383,B,False,635.56,636.33,629.42,620.68,622.22,628.29,628.92,629.97,630.86,626.53,622.07,624.08,621.0,619.74,623.91
1384,B,False,656.28,656.23,659.65,656.19,653.97,660.21,658.33,661.35,656.76,658.1,657.02,658.31,660.3,659.11,656.11
1385,B,False,54.791,54.98,56.341,56.893,57.311,57.894,55.136,55.112,53.229,54.704,54.84,54.681,56.488,56.423,55.992
1386,B,False,366.53,372.07,371.94,370.93,366.16,367.36,368.43,368.45,366.65,371.36,370.72,371.91,369.1,370.04,369.9
1387,B,False,268.63,270.08,271.02,267.82,266.78,261.63,264.63,263.46,263.32,264.65,260.43,262.14,266.3,263.18,258.23
1388,B,False,203.26,205.59,203.58,204.84,207.24,206.88,210.49,217.66,224.86,224.25,223.38,226.55,227.12,223.01,222.97
1389,B,False,104.21,103.7,98.858,98.575,96.982,96.282,96.989,96.048,96.33,96.447,93.868,93.539,98.316,98.708,100.38
1390,B,False,931.68,936.93,937.03,930.06,939.12,937.06,939.3,938.14,941.41,937.17,941.2,936.47,937.92,931.33,939.81
1391,B,False,436.01,433.43,432.27,434.12,438.65,435.22,432.16,431.7,431.73,427.68,423.38,427.97,419.79,421.91,413.53
