,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10
204,M,False,5.1953,5.2053,5.217,5.2264,5.237,5.2453,5.2463,5.2543,5.2571,5.2693
205,M,False,4.9016,4.9305,4.8959,4.877,4.865,4.7926,4.8172,4.844,4.7785,4.852
206,M,True,5.2408,5.2434,5.239,5.2448,5.2419,5.2545,5.2398,5.2343,5.2439,5.2276
207,M,True,5.0999,5.1008,5.0981,5.0958,5.1007,5.0924,5.0681,5.0966,5.0762,5.0663
208,M,False,5.0814,5.059,5.0843,5.0824,5.0648,5.0786,5.0759,5.051,5.0624,5.0378
209,M,False,5.0182,5.0015,5.0092,4.9925,4.9902,4.9933,5.002,5.0085,5.0037,4.9962
210,M,False,4.9645,4.9629,4.9486,4.9399,4.9545,4.9623,4.9415,4.9474,4.9707,4.9535
211,M,True,5.1973,5.1974,5.1729,5.1611,5.1944,5.2117,5.2021,5.1787,5.1827,5.1863
212,M,False,5.2284,5.2169,5.2438,5.2532,5.2342,5.25,5.2394,5.2304,5.2324,5.2695
213,M,False,5.25,5.2394,5.2304,5.2324,5.2695,5.2906,5.2695,5.2572,5.2422,5.2255
214,M,False,5.0573,5.0631,5.09,5.0791,5.0974,5.0974,5.0406,5.0644,5.0884,5.0941
215,M,False,4.9492,4.9436,4.9585,4.9556,4.9839,4.9699,4.9537,4.9622,4.952,4.951
216,M,False,4.8847,4.8718,4.9331,5.004,5.0334,5.0505,5.1327,5.036,5.02,5.0275
217,M,True,4.5981,4.6177,4.616,4.5994,4.563,4.5396,4.5521,4.5872,4.5292,4.5235
218,M,False,4.6073,4.5976,4.5861,4.5834,4.607,4.5857,4.6113,4.6053,4.5998,4.5984
219,M,False,4.7671,4.7729,4.782,4.7733,4.7553,4.6928,4.7293,4.8106,4.8098,4.8392
220,M,False,4.3624,4.3081,4.3078,4.3847,4.3902,4.3856,4.3202,4.2955,4.3476,4.3605
221,M,False,4.3218,4.5148,4.1586,4.3477,4.0849,4.1594,4.091,4.1334,3.9317,4.2414
222,M,False,4.1586,4.3477,4.0849,4.1594,4.091,4.1334,3.9317,4.2414,4.2198,4.4139
223,M,False,4.3306,4.2882,4.1994,4.2106,4.1985,4.2458,4.2644,4.2608,4.3218,4.3142
224,M,False,3.9997,4.1184,4.0806,4.1264,4.2205,4.1045,4.0776,4.0345,4.0756,3.9152
225,M,False,4.2144,4.1788,4.258,4.1993,4.2933,4.2577,4.2177,4.2459,4.2179,4.2501
226,M,False,4.2805,4.3072,4.3316,4.2933,4.2887,4.3765,4.4077,4.4185,4.4161,4.4047
227,M,True,4.5055,4.6131,4.7306,4.4903,4.7083,4.729,4.6277,4.6844,4.6717,4.7749
228,M,True,4.6067,4.6068,4.6415,4.6405,4.6495,4.6342,4.6467,4.6496,4.6334,4.6473
229,M,True,4.1597,4.0935,4.0255,4.0979,4.2727,4.2648,4.1212,4.2289,4.1835,4.1795
230,M,False,4.0365,4.0391,4.086,4.1502,4.115,4.1362,4.157,4.1199,4.2016,4.238
231,M,True,4.1723,4.1004,4.1591,4.1909,4.1373,4.1323,4.195,4.1752,4.0831,4.1369
232,M,False,4.3736,4.3719,4.4135,4.4224,4.4241,4.4225,4.4521,4.4184,4.4706,4.4761
233,M,False,4.4365,4.4089,4.3933,4.3826,4.4081,4.3796,4.3611,4.357,4.3416,4.336
234,M,True,4.199,4.1986,4.3458,4.3616,4.4016,4.3887,4.3792,4.4061,4.4153,4.4455
235,M,False,4.6468,4.5969,4.6054,4.6203,4.6034,4.6115,4.6377,4.6109,4.6393,4.6534
236,M,False,4.6455,4.5946,4.6408,4.6301,4.6606,4.5729,4.6004,4.5852,4.5379,4.5355
237,M,False,4.1514,4.131,4.1315,4.1342,4.1432,4.1833,4.1373,4.0924,4.0458,4.0006
238,M,False,4.7795,4.772,4.7224,4.7178,4.6973,4.6751,4.7094,4.7231,4.756,4.7132
239,M,False,4.7506,4.6951,4.7633,4.7271,4.7029,4.711,4.7197,4.6767,4.7092,4.6811
