,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10
1872,N,False,34.101,34.045,36.153,36.38,40.323,41.767,44.682,47.12,48.981,51.685
1873,N,False,1121.4,1125.4,1126.4,1135.0,1128.2,1133.0,1126.7,1123.6,1122.8,1127.9
1874,N,False,1632.5,1636.4,1639.4,1647.0,1647.7,1644.8,1638.0,1637.2,1641.1,1636.5
1875,N,False,74.83,75.862,73.932,72.479,74.418,73.415,74.737,75.498,75.181,76.129
1876,N,False,2407.7,2416.9,2404.8,2394.0,2393.6,2397.1,2393.2,2394.0,2398.3,2398.9
1877,N,False,65.101,67.326,66.42,67.471,67.451,65.205,66.678,63.163,66.828,65.803
1878,N,False,1129.8,1135.8,1135.1,1138.8,1143.8,1141.1,1138.7,1140.6,1134.1,1130.1
1879,N,False,310.69,311.5,307.24,305.92,301.98,300.33,300.78,296.0,298.85,296.55
1880,N,False,70.614,69.849,69.967,69.972,70.529,70.676,72.368,71.066,70.996,70.305
1881,N,False,51.443,52.145,52.122,51.927,50.053,49.539,50.245,51.295,49.319,48.309
1882,N,False,42.874,43.055,44.207,41.833,41.998,43.367,42.929,42.095,43.06,43.301
1883,N,False,71.048,70.143,74.133,75.511,74.795,73.751,72.318,75.508,75.845,76.77
1884,N,False,15.643,15.957,17.666,17.22,18.24,20.809,20.303,20.556,21.015,19.844
1885,N,False,98.368,97.637,99.856,99.256,100.19,99.315,97.803,96.213,95.351,97.007
1886,N,False,704.5,702.65,702.63,695.14,691.12,693.08,694.18,701.55,702.7,703.89
1887,N,False,70.044,71.322,71.573,71.081,70.342,69.853,71.368,70.35,67.135,68.057
1888,N,False,1112.3,1107.4,1099.8,1104.4,1107.9,1108.1,1105.8,1101.0,1098.1,1099.5
1889,N,False,34.047,34.144,34.187,34.313,34.531,34.274,32.294,33.117,32.857,33.385
1890,N,False,90.934,90.49,91.351,90.429,91.854,90.56,89.175,90.789,88.241,88.69
1891,N,False,29.39,28.24,28.206,29.804,29.721,29.065,27.943,29.005,29.353,29.978
1892,N,False,302.41,304.46,300.31,301.9,301.65,304.62,305.57,302.26,308.39,307.1
1893,N,False,994.31,989.2,1000.7,996.78,1001.8,1003.3,1001.4,1011.0,1004.4,1004.5
1894,N,False,994.31,989.2,1000.7,996.78,1001.8,1003.3,1001.4,1011.0,1004.4,1004.5
1895,N,False,200.27,200.19,198.06,194.09,193.12,192.44,189.73,188.98,192.28,190.46
1896,N,False,230.84,230.13,234.01,232.79,233.79,233.08,230.69,230.25,233.0,235.51
1897,N,False,100.99,99.555,100.34,98.051,97.309,96.945,96.039,95.987,96.802,95.965
1898,N,False,131.3,133.06,135.07,137.47,137.54,134.66,135.44,137.82,137.63,137.82
1899,N,False,299.99,303.15,302.98,300.89,302.19,300.91,302.07,299.71,300.31,297.27
1900,N,False,1309.9,1314.1,1315.7,1316.0,1316.9,1321.7,1325.9,1321.3,1329.4,1326.0
1901,N,False,309.23,308.33,304.84,302.87,302.93,306.97,305.77,303.86,303.35,303.18
1902,N,False,698.31,695.04,687.45,688.58,688.21,690.67,687.31,693.39,694.56,689.53
1903,N,False,25.641,26.035,25.312,25.634,24.11,25.565,26.431,26.929,28.642,28.261
1904,N,False,42.326,41.976,41.863,40.336,39.699,40.762,40.128,40.82,39.385,37.9
1905,N,False,1151.1,1153.9,1154.4,1150.9,1149.7,1156.2,1160.6,1160.9,1165.2,1164.6
1906,N,False,302.72,302.79,300.62,305.8,308.53,308.47,310.22,307.46,305.24,308.2
1907,N,False,458.03,457.63,463.68,463.67,461.49,459.52,460.92,465.81,468.43,467.08
1908,N,False,269.02,269.06,268.73,268.34,267.95,265.67,259.94,258.41,262.15,259.14
1909,N,False,192.36,196.34,196.59,195.86,196.25,196.73,195.73,193.27,189.87,189.37
